query_table,query_value,candidate_table,candidate_value
soccertournament_left,2015 south american youth championship,soccertournament_right,2011 south american youth championship
tournament_left,1990 ofc u-20 championship,tournament_right,2003 ofc u-20 championship
song_left,tajomstvo hier,song_right,babul mora naihar chhooto hi jaaye
clericaladministrativeregion_left,roman catholic archdiocese of mendoza,clericaladministrativeregion_right,roman catholic archdiocese of la plata in argentina
televisionstation_left,kpse-lp,televisionstation_right,khpk-lp
ncaateamseason_left,1934 alabama crimson tide football team,ncaateamseason_right,1903 alabama crimson white football team
soccertournament_left,2007 uefa european under-21 football championship,soccertournament_right,2007 uefa european under-21 championship
sportsleague_left,hockey champions challenge i,sportsleague_right,hockey champions challenge
drug_left,pf-04457845,drug_right,sb-258719
case_left,united states v. davis,case_right,davis v. fec
naturalevent_left,1962 buin zahra earthquake,naturalevent_right,1962 bou'in-zahra earthquake
monarch_left,nasrullah khan (afghanistan),monarch_right,dost mohammad khan (emir of afghanistan)
footballmatch_left,2006 international rules series,footballmatch_right,2010 international rules series
footballleagueseason_left,2010 j. league division 1,footballleagueseason_right,2006 j.league division 1
unitofwork_left,american society of mechanical engineers v. hydrolevel corporation,unitofwork_right,"american society of mechanical engineers, inc. v. hydrolevel corp."
stadium_left,stadion lachen,stadium_right,lahden stadion
galaxy_left,ngc 4627,galaxy_right,ngc 5562
award_left,2009 grammy awards,award_right,9th grammy awards
wrestler_left,rocky romero,wrestler_right,rocky king
legislature_left,national legislative assembly (south sudan),legislature_right,national legislature of south sudan
amphibian_left,northern zigzag salamander,amphibian_right,southern zigzag salamander
drug_left,ah-7921,drug_right,cp-94253
wrestler_left,katsuhiko nakajima,wrestler_right,hiro matsuda
shoppingmall_left,galleria shopping centre,shoppingmall_right,colonnades shopping centre
device_left,sony ericsson xperia pro,device_right,sony xperia
drug_left,pf-04457845,drug_right,cp-94253
sportsleague_left,fiba asia championship for women,sportsleague_right,fiba asia women's championship
naturalevent_left,1996 baotou earthquake,naturalevent_right,march 2013 nantou earthquake
hospital_left,adventist medical center,hospital_right,adventist healthcare washington adventist hospital
footballmatch_left,albanian supercup 2012,footballmatch_right,2012 albanian supercup
televisionstation_left,sporttv 3,televisionstation_right,sport.tv2
ethnicgroup_left,bulgarian american,ethnicgroup_right,bulgarian americans
stadium_left,city stadium (gnjilane),stadium_right,city stadium (gjilan)
footballmatch_left,2009 albanian supercup,footballmatch_right,2012 albanian supercup
sportfacility_left,spartak stadium (odessa),sportfacility_right,stroitel stadium (soligorsk)
soccertournament_left,2014 uefa women's u-19 championship,soccertournament_right,2014 uefa women's under-17 championship
nationalfootballleagueseason_left,1947 cleveland browns season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
galaxy_left,ngc 38,galaxy_right,ngc 34
politicalparty_left,regionalist action party of chile,politicalparty_right,party for democracy (chile)
galaxy_left,ngc 1427,galaxy_right,ngc 1265
basketballteam_left,surrey heat,basketballteam_right,surrey scorchers
monarch_left,harald olafsson,monarch_right,olafr godredsson
song_left,marianne (sergio endrigo song),song_right,"so long, marianne (song)"
naturalevent_left,duvall earthquake,naturalevent_right,1996 duvall earthquake
country_left,yuan dynasty,country_right,tang dynasty
soccerleague_left,championnat de france amateur 2,soccerleague_right,championnat de france amateur
award_left,nickelodeon australian kids' choice awards 2006,award_right,nickelodeon indonesia kids' choice awards
politicalparty_left,puducherry pradesh congress committee,politicalparty_right,chhattisgarh pradesh congress committee
televisionstation_left,sportschannel los angeles,televisionstation_right,sportschannel america
stadium_left,varsity field (binghamton baseball),stadium_right,"varsity field (binghamton, new york)"
televisionstation_left,chca-tv,televisionstation_right,chbc-tv
galaxy_left,ngc 1156,galaxy_right,ngc 1265
shoppingmall_left,westfield southland,shoppingmall_right,westfield downtown
historicbuilding_left,"st. augustine catholic church (culver city, california)",historicbuilding_right,"st. andrew's catholic church (pasadena, california)"
drug_left,sc-17599,drug_right,sb-258585
sportsleague_left,bromley and district football league,sportsleague_right,bromley and district league
election_left,"gujarat legislative assembly election, 2007",election_right,"gujarat legislative assembly election, 2002"
reptile_left,armenian lizard,reptile_right,armenian lizard
legislature_left,states-general of the netherlands,legislature_right,states general of the netherlands
rugbyleague_left,arfu women's rugby championship,rugbyleague_right,women's nations cup (rugby union)
reptile_left,west canary skink,reptile_right,west canary skink
footballleagueseason_left,2008 j. league division 2,footballleagueseason_right,2010 j.league division 2
politicalparty_left,ukrainian people's party,politicalparty_right,ukrainian socialist revolutionary party
shoppingmall_left,south point (shopping mall),shoppingmall_right,south point mall
televisionstation_left,kclj-lp,televisionstation_right,kjwy-lp
naturalevent_left,2004 indian ocean earthquake and tsunami,naturalevent_right,2012 indian ocean earthquake
artwork_left,rucellai madonna,artwork_right,madonna of foligno
motorsportseason_left,2008 formula 3 sudamericana season,motorsportseason_right,2008 formula three sudamericana season
artificialsatellite_left,kosmos 1382,artificialsatellite_right,kosmos 1667
venue_left,lyceum theatre (broadway),venue_right,broadway theatre (53rd street)
song_left,the pitman's revenge,song_right,the pitmanâs revenge
country_left,han dynasty,country_right,later han (five dynasties)
tennistournament_left,1997 bell challenge,tennistournament_right,1998 challenge bell
tennistournament_left,1997 bell challenge,tennistournament_right,2010 challenge bell
sportfacility_left,estadio parque artigas,sportfacility_right,estadio luis \
drug_left,ah-7921,drug_right,sb-216641
railwayline_left,yellow line (montreal metro),railwayline_right,line 5 blue (montreal metro)
historicbuilding_left,"our lady and st. wilfrid's roman catholic church, warwick bridge",historicbuilding_right,"our lady and st wilfrid's church, warwick bridge"
wrestler_left,katsuhiko nakajima,wrestler_right,kazma sakamoto
soccerclubseason_left,2010 australia national football team season,soccerclubseason_right,2008 australia national soccer team season
country_left,zhou dynasty,country_right,liang dynasty
soccerleague_left,swedish football division 1 norra,soccerleague_right,division 1 (swedish football)
soccerclubseason_left,2012 kelantan fa season,soccerclubseason_right,2012 kuala lumpur fa season
artificialsatellite_left,intelsat i,artificialsatellite_right,intelsat 28
historicbuilding_left,st. matthias bellwoods,historicbuilding_right,"st. matthias, bellwoods"
magazine_left,true detective,magazine_right,true detective (magazine)
ncaateamseason_left,1934 alabama crimson tide football team,ncaateamseason_right,1899 alabama crimson white football team
wrestler_left,kuniaki kobayashi,wrestler_right,hiro matsuda
motorsportseason_left,1984 world rally championship season,motorsportseason_right,1984 world rally championship
rugbyleague_left,group 1 rugby league,rugbyleague_right,division 1-a rugby
drug_left,"sb-649,915",drug_right,sb-204070
christianbishop_left,patriarch dionysius i of constantinople,christianbishop_right,patriarch seraphim ii of constantinople
sportfacility_left,king abdullah sports city,sportfacility_right,king abdullah ii stadium
televisionstation_left,wjzb-tv,televisionstation_right,wnyj-tv
governmentagency_left,"ministry of business, innovation and employment",governmentagency_right,ministry of employment and labor
rugbyleague_left,rugby league european shield,rugbyleague_right,rugby league european championship c
wrestler_left,mikhail mamiashvili,wrestler_right,anatoli beloglazov
hospital_left,desert valley hospital,hospital_right,paradise valley hospital california
basketballteam_left,maccabi ashdod b.c.,basketballteam_right,maccabi ra'anana
rugbyleague_left,east regional league (rugby union),rugbyleague_right,rugby league conference london & south division
motorsportseason_left,1973 imsa gt championship season,motorsportseason_right,1973 imsa gt championship
legislature_left,new york city council,legislature_right,city of york council
monarch_left,jashwant singh,monarch_right,keshri singh
historicbuilding_left,"st. monica catholic church, santa monica",historicbuilding_right,"st. monica catholic church (santa monica, california)"
wrestler_left,lee wang pyo,wrestler_right,cha kwang-su
artwork_left,adoration of the magi (gentile da fabriano),artwork_right,"adoration of the magi (rubens, cambridge)"
race_left,eclipse stakes (canada),race_right,eclipse stakes (mrc)
galaxy_left,ngc 7252,galaxy_right,ngc 6872
tennistournament_left,2012 aegon championships,tennistournament_right,2011 aegon championships
sportfacility_left,shahid bahonar stadium,sportfacility_right,rajiv gandhi indoor stadium
rugbyleague_left,irb nations cup,rugbyleague_right,world rugby nations cup
case_left,sale v. haitian centers council,case_right,"sale v. haitian centers council, inc."
drug_left,doxorubicin,drug_right,zoptarelin doxorubicin
country_left,ahmadnagar sultanate,country_right,bengal sultanate
artificialsatellite_left,kosmos 95,artificialsatellite_right,kosmos 605
tennistournament_left,1998 bell challenge,tennistournament_right,2008 challenge bell
legislature_left,council of states (sudan),legislature_right,council of states of sudan
monarch_left,yusuf ibn tashfin,monarch_right,lashkari ibn muhammad
naturalevent_left,january 2010 solomon islands earthquake,naturalevent_right,2010 solomon islands earthquake
sportsleague_left,czech 2. liga,sportsleague_right,czech first league
ncaateamseason_left,1927 alabama crimson tide football team,ncaateamseason_right,1895 alabama crimson white football team
magazine_left,the monthly,magazine_right,monthly magazine z
governmentagency_left,ministry of public safety and security,governmentagency_right,ministry of security and public administration
enzyme_left,"b-1,3-galactosyl-o-glycosyl-glycoprotein b-1,6-n-acetylglucosaminyltransferase",enzyme_right,2-hydroxyacylsphingosine 1-beta-galactosyltransferase
stadium_left,penang international sports arena,stadium_right,penang state stadium
clericaladministrativeregion_left,apostolic exarchate of serbia and montenegro,clericaladministrativeregion_right,apostolic exarchate of serbia
museum_left,islamic arts museum malaysia,museum_right,national museum of malaysia
ethnicgroup_left,portuguese new zealander,ethnicgroup_right,portuguese new zealanders
galaxy_left,ngc 4639,galaxy_right,ngc 5562
hospital_left,metropolitan hospital center,hospital_right,medstar washington hospital center
givenname_left,takuma,givenname_right,junichi
rugbyleague_left,rugby-bundesliga,rugbyleague_right,2. rugby-bundesliga
wrestler_left,kayoko haruyama,wrestler_right,kaoru matsumoto
ethnicgroup_left,asian canadian,ethnicgroup_right,chinese canadians
ncaateamseason_left,1895 lsu tigers football team,ncaateamseason_right,1894 lsu football team
governmentagency_left,the office of azerbaijan president,governmentagency_right,presidential administration of azerbaijan
historicbuilding_left,"st james' church, christleton",historicbuilding_right,"st saviour's church, branston"
christianbishop_left,ealdwulf (archbishop of york),christianbishop_right,ealdred (archbishop of york)
rugbyleague_left,central coast division rugby league,rugbyleague_right,rugby league conference north east division
amphibian_left,mantidactylus madecassus,amphibian_right,mantidactylus corvus
song_left,stay forever (song),song_right,stay forever (platin song)
soccerleague_left,slovenian republic football league,soccerleague_right,slovenian regional league
memberofparliament_left,s. a. jayantha samaraweera,memberofparliament_right,n. kumaraguruparan
museum_left,museum of life and science,museum_right,museum of nature & science
hospital_left,"prince of wales hospital, sydney",hospital_right,prince of wales hospital (sydney)
enzyme_left,formate c-acetyltransferase,enzyme_right,(formate-c-acetyltransferase)-activating enzyme
clericaladministrativeregion_left,syro-malabar catholic diocese of gorakhpur,clericaladministrativeregion_right,syro-malabar catholic eparchy of gorakhpur
election_left,"elections to the aragonese corts, 1991",election_right,"aragonese corts election, 1999"
givenname_left,haruchika,givenname_right,haruchika (given name)
televisionstation_left,yle extra,televisionstation_right,yle extra
song_left,envie de vivre,song_right,une vie d'amour
shoppingmall_left,solano town center,shoppingmall_right,westfield solano
wrestler_left,igor kanygin,wrestler_right,anatoli beloglazov
footballmatch_left,2011 conference national play-off final,footballmatch_right,2012 conference premier play-off final
soccerclubseason_left,2002 australia national football team season,soccerclubseason_right,2004 australia national soccer team season
museum_left,fort vredeburg,museum_right,fort vredeburg museum
artwork_left,martyrdom of saint bartholomew,artwork_right,martyrdom of saint lawrence
magazine_left,next generation (magazine),magazine_right,next generation magazine
televisionstation_left,itv4,televisionstation_right,itv1
case_left,davidson v. new orleans,case_right,davidson v. city of new orleans
tournament_left,2007 ofc u-20 championship,tournament_right,2003 ofc u-20 championship
shoppingmall_left,westfield mainplace,shoppingmall_right,westfield solano
basketballteam_left,pallacanestro varese,basketballteam_right,pallacanestro don bosco livorno
footballleagueseason_left,2005 j. league division 1,footballleagueseason_right,2005 j.league division 2
soccerclubseason_left,2011 woodlands wellington season,soccerclubseason_right,2012 woodlands wellington fc season
tennistournament_left,2009 credicard citi mastercard tennis cup,tennistournament_right,2000 tennis masters cup and atp tour world championships
givenname_left,juan,givenname_right,juanfran (disambiguation)
amphibian_left,sign-bearing froglet,amphibian_right,sign-bearing froglet
governmentagency_left,department of atomic energy (india),governmentagency_right,"department of atomic energy, government of india"
motorsportseason_left,1979 imsa gt championship season,motorsportseason_right,1979 imsa gt championship
footballmatch_left,2001 football league cup final,footballmatch_right,2011 j.league cup final
enzyme_left,4-hydroxyacetophenone monooxygenase,enzyme_right,4-hydroxybutyrate dehydrogenase
politicalparty_left,haryana republican party,politicalparty_right,republican party of india (a)
artificialsatellite_left,usa-202,artificialsatellite_right,usa-242
naturalevent_left,2002 bou'in-zahra earthquake,naturalevent_right,1962 bou'in-zahra earthquake
stadium_left,estadio pedro marrero,stadium_right,estadio centenario (cuernavaca)
sportsleague_left,bristol and district football league,sportsleague_right,bristol and district league
amphibian_left,mantidactylus domerguei,amphibian_right,mantidactylus klemmeri
venue_left,"gaiety theatre, london",venue_right,gaiety theatre (new york city)
wrestler_left,jim wilson (wrestler),wrestler_right,ryan wilson (wrestler)
stadium_left,rajarshi shahu stadium,stadium_right,stepan shahumyan republican stadium
politicalparty_left,liberal democratic party of moldova,politicalparty_right,liberal party of moldova
device_left,bl 6 inch mk vii naval gun,device_right,bl 6-inch mk vii naval gun
venue_left,yangsan stadium,venue_right,changwon sports park
monarch_left,empress ma (ming),monarch_right,empress ma (han dynasty)
sportfacility_left,ullevaal stadion,sportfacility_right,lahden stadion
historicbuilding_left,"our lady of mount carmel parish (wyandotte, michigan)",historicbuilding_right,"our lady of the scapular parish (wyandotte, michigan)"
amphibian_left,many-lined salamander,amphibian_right,many-lined salamander
artificialsatellite_left,tdrs-10,artificialsatellite_right,tdrs-11
device_left,type 92 machine gun,device_right,type 97 heavy tank machine gun
legislature_left,national assembly (pakistan),legislature_right,national assembly of pakistan
artwork_left,aristotle contemplating a bust of homer,artwork_right,aristotle with a bust of homer
politicalparty_left,justice party (turkey),politicalparty_right,social democracy party (turkey)
wrestler_left,daisuke sekimoto,wrestler_right,kaoru matsumoto
reptile_left,soutpansberg rock lizard,reptile_right,soutpansberg rock lizard
railwayline_left,"line 2, shanghai metro",railwayline_right,"line 4, shenzhen metro"
case_left,"wabash, st. louis & pacific railway company v. illinois",case_right,"chicago, burlington & quincy railroad co. v. city of chicago"
device_left,nokia 5230,device_right,nokia e52/e55
historicbuilding_left,st. timothy catholic church,historicbuilding_right,st. timothy catholic church (los angeles)
politicalparty_left,northern ireland conservatives,politicalparty_right,conservatives in northern ireland
ethnicgroup_left,italian australian,ethnicgroup_right,italian australians
artwork_left,the roulin family (van gogh series),artwork_right,the roulin family
race_left,doncaster mares' hurdle,race_right,british champions fillies & mares stakes
election_left,"indian general election in haryana, 1998",election_right,"indian general election, 1998 (haryana)"
venue_left,mcandrew stadium,venue_right,mclane stadium
soccerleague_left,uzbekistan futsal league,soccerleague_right,azerbaijan futsal premier league
ethnicgroup_left,canadians in pakistan,ethnicgroup_right,pakistani canadians
christianbishop_left,william murphy (bishop of kerry),christianbishop_right,francis murphy (australian bishop)
legislature_left,landtag of saxony,legislature_right,landtag of the free state of saxony
race_left,tour of faroes islands,race_right,tour of faroe islands
hospital_left,sanjeevan hospital,hospital_right,chavakacheri hospital
sportfacility_left,estadio armando maestre pavajeau,sportfacility_right,estadio centenario (cuernavaca)
wrestler_left,tatsumi fujinami,wrestler_right,hayato fujita
tournament_left,2013 uefa european under-21 football championship,tournament_right,2013 uefa european under-17 championship
footballmatch_left,2010 fa cup final,footballmatch_right,2011 j.league cup final
election_left,"somaliland parliamentary election, 2014",election_right,"somaliland general election, 2017"
tournament_left,ptt bangkok open,tournament_right,ptt thailand open (atp)
song_left,what love has joined together,song_right,it started with a love affair
ncaateamseason_left,1927 alabama crimson tide football team,ncaateamseason_right,1905 alabama crimson white football team
song_left,today (jefferson airplane song),song_right,tomorrow (song from annie)
election_left,"united states senate election in california, 2010",election_right,"california state senate election, 2012"
galaxy_left,ngc 3628,galaxy_right,ngc 34
memberofparliament_left,sir arthur cowell-stepney,memberofparliament_right,"sir arthur cowell-stepney, 2nd baronet"
railwayline_left,fr8 (lazio regional railways),railwayline_right,fl2 (lazio regional railways)
soccerleague_left,victorian state league division 5,soccerleague_right,nsw state league division 2
governmentagency_left,department of family and community services (new south wales),governmentagency_right,"department of communities, child safety and disability services (queensland)"
unitofwork_left,"wabash, st. louis & pacific railway company v. illinois",unitofwork_right,"chicago, milwaukee & st. paul railway co. v. minnesota"
country_left,armenia,country_right,bagratid armenia
memberofparliament_left,jim page (politician),memberofparliament_right,jim barnes (politician)
stadium_left,ulsan baseball stadium,stadium_right,ulsan munsu baseball stadium
politicalparty_left,union of democratic forces (mauritania),politicalparty_right,people's front (mauritania)
ethnicgroup_left,swedish iraqis,ethnicgroup_right,iraqis in sweden
noble_left,dominik aleksander kazanowski,noble_right,aleksander dominik kazanowski
device_left,sony xperia ion,device_right,sony xperia ion
soccerleague_left,queensland australian football league,soccerleague_right,national premier leagues queensland
footballmatch_left,2002 international rules series,footballmatch_right,1998 international rules series
case_left,kellogg bridge company v. hamilton,case_right,kellogg bridge co. v. hamilton
device_left,starr carbine,device_right,starr carbine
tournament_left,2015 south american youth championship,tournament_right,2003 south american youth championship
rugbyleague_left,rugby league charity shield (great britain),rugbyleague_right,charity shield (nrl)
unitofwork_left,united states v. x-citement video,unitofwork_right,"united states v. x-citement video, inc."
reptile_left,barbados leaf-toed gecko,reptile_right,barbados leaf-toed gecko
wrestler_left,julio estrada (wrestler),wrestler_right,hernandez (wrestler)
politicalparty_left,national democratic party (united states),politicalparty_right,new democratic party
case_left,"john den, ex dem. james b. murray et al. v. the hoboken land and improvement company",case_right,murray's lessee v. hoboken land & improvement co.
footballleagueseason_left,2008 j. league division 1,footballleagueseason_right,2005 j.league division 1
museum_left,wellington tramway museum,museum_right,wellington museum
legislature_left,federal assembly (switzerland),legislature_right,federal assembly of switzerland
noble_left,"henri-nompar de caumont, duc de la force",noble_right,"jacques nompar de caumont, duke of la force"
railwayline_left,line 6 (naples metro),railwayline_right,line 1 (naples metro)
award_left,east coast conference men's basketball player of the year,award_right,pac-12 conference men's basketball player of the year
tennistournament_left,2010 riviera di rimini challenger,tennistournament_right,2010 challenger banque nationale de rimouski
tournament_left,1992 uefa european under-21 football championship,tournament_right,1992 uefa european under-16 championship
clericaladministrativeregion_left,roman catholic diocese of victoria,clericaladministrativeregion_right,anglican diocese of north west australia
case_left,united states v. kirby lumber co.,case_right,weyerhaeuser co. v. ross-simmons hardwood lumber co.
venue_left,harris theater (pittsburgh),venue_right,"harris theater (chicago, illinois)"
award_left,mtv video music award for video of the year,award_right,mtv video music award for best visual effects
footballmatch_left,2008 dfb-pokal final,footballmatch_right,1968 dfb-pokal final
historicbuilding_left,"church of our saviour (cincinnati, ohio)",historicbuilding_right,church of our saviour (cincinnati)
footballmatch_left,1989 european cup final,footballmatch_right,1988 dfb-pokal final
artificialsatellite_left,kosmos 2155,artificialsatellite_right,kosmos 605
amphibian_left,mantidactylus lugubris,amphibian_right,mantidactylus klemmeri
soccerclubseason_left,2006 australia national football team season,soccerclubseason_right,2010 australia national soccer team season
magazine_left,the trades,magazine_right,the trades
tennistournament_left,1996 bell challenge,tennistournament_right,2011 challenge bell
politicalparty_left,republican progressive party,politicalparty_right,progressive republican right
givenname_left,lyfing (given name),givenname_right,lyfing
politicalparty_left,chhatisgarh pradesh congress committee,politicalparty_right,pondicherry pradesh congress committee
drug_left,ro60-0213,drug_right,cj-033466
device_left,springfield model 1847,device_right,springfield model 1880
politicalparty_left,tripura pradesh congress committee,politicalparty_right,pondicherry pradesh congress committee
ncaateamseason_left,1925 alabama crimson tide football team,ncaateamseason_right,1901 alabama crimson white football team
railwayline_left,"line 10, shanghai metro",railwayline_right,"line 17, shanghai metro"
tennistournament_left,2010 tennislife cup,tennistournament_right,2009 san benedetto tennis cup
motorsportseason_left,1990 all japan sports prototype car endurance championship season,motorsportseason_right,1989 all japan sports prototype car endurance championship
election_left,"belgian regional elections, 2004",election_right,"belgian local elections, 2000"
memberofparliament_left,brian wilson (labour politician),memberofparliament_right,james wilson (labour politician)
award_left,tvynovelas award for best co-star actor,award_right,tvynovelas award for best antagonist actor
governmentagency_left,ministry of construction (burma),governmentagency_right,ministry of construction (myanmar)
christianbishop_left,michael lewis (bishop),christianbishop_right,michael campbell (bishop)
ethnicgroup_left,iraqi australian,ethnicgroup_right,iraqi australians
wrestler_left,takahiro suwa,wrestler_right,hiroshi takizawa
historicbuilding_left,"holy trinity church, coventry",historicbuilding_right,"holy trinity church, marylebone"
christianbishop_left,james montague (bishop),christianbishop_right,james bramston (bishop)
unitofwork_left,houston e. & w. t. ry. co. v. united states,unitofwork_right,houston east & west texas railway co. v. united states
amphibian_left,stuttering frog,amphibian_right,stuttering frog
venue_left,vizelj park,venue_right,vizelj park
galaxy_left,ngc 6566,galaxy_right,ngc 5562
historicbuilding_left,"emmanuel church, nottingham",historicbuilding_right,"st andrew's church, nottingham"
tennistournament_left,2010 president's cup (tennis),tennistournament_right,2010 blu-express.com tennis cup
governmentagency_left,secretariat for human rights,governmentagency_right,special secretariat for human rights
railwayline_left,"line 7, shanghai metro",railwayline_right,"line 17, shanghai metro"
tennistournament_left,2008 bell challenge,tennistournament_right,1998 challenge bell
tennistournament_left,2008 bell challenge,tennistournament_right,2010 challenge bell
givenname_left,laimonis (name),givenname_right,laimonis
award_left,2004 brit awards,award_right,2006 brit awards
stadium_left,estadio jalisco,stadium_right,estadio luis \
case_left,kramer v. union free school district no. 15,case_right,kramer v. union school district
galaxy_left,ngc 5907,galaxy_right,ngc 5562
artwork_left,madonna and child playing with the veil,artwork_right,madonna and child (lippi)
case_left,southern pacific company v. arizona,case_right,southern pacific company v. state of arizona
reptile_left,lomi's blind legless skink,reptile_right,lomi's blind legless skink
museum_left,jewish museum and tolerance center,museum_right,london jewish museum
givenname_left,bethany (given name),givenname_right,alison (given name)
election_left,"sheffield council election, 2006",election_right,"sheffield city council election, 2011"
soccerclubseason_left,2005 australia national football team season,soccerclubseason_right,2004 australia national soccer team season
shoppingmall_left,louis joliet mall,shoppingmall_right,westfield louis joliet
noble_left,"john adolf, duke of holstein-gottorp",noble_right,"john adolph, duke of schleswig-holstein-norburg"
case_left,microsoft v. at&t,case_right,microsoft corp. v. at&t corp.
hospital_left,"queen elizabeth hospital, hong kong",hospital_right,princess margaret hospital (hong kong)
venue_left,fana stadion,venue_right,stadion detelinara
historicbuilding_left,"st. audoen's church, dublin",historicbuilding_right,"st audoen's catholic church, dublin"
drug_left,ah-7921,drug_right,sb-258585
historicbuilding_left,"st mary and st margaret's church, castle bromwich",historicbuilding_right,"st andrew's church, west bromwich"
rugbyleague_left,nacra women's rugby championship,rugbyleague_right,women's nations cup (rugby union)
noble_left,"johann reinhard ii, count of hanau-lichtenberg",noble_right,"philipp iv, count of hanau-lichtenberg"
footballmatch_left,austria v switzerland (1954),footballmatch_right,austria v switzerland (1954 fifa world cup)
monarch_left,shirvanshah ali ii,monarch_right,ali i of shirvan
soccerleague_left,great yarmouth and district football league,soccerleague_right,great yarmouth and district league
award_left,latin grammy award for best latin jazz album,award_right,grammy award for best tropical latin album
device_left,bmw m57,device_right,bmw p60b40
soccerclubseason_left,2002 australia national football team season,soccerclubseason_right,2011 australia national soccer team season
enzyme_left,globoside alpha-n-acetylgalactosaminyltransferase,enzyme_right,alpha-n-acetylgalactosaminidase
monarch_left,abu bakr ibn muhammad,monarch_right,lashkari ibn muhammad
clericaladministrativeregion_left,roman catholic diocese of bathurst (canada),clericaladministrativeregion_right,roman catholic diocese of bathurst in canada
footballmatch_left,2010 conference national play-off final,footballmatch_right,2010 conference premier play-off final
basketballteam_left,kk vojvodina,basketballteam_right,kk vojvodina srbijagas
soccerleague_left,calcutta premier division,soccerleague_right,calcutta football league
magazine_left,official playstation magazine (australia),magazine_right,playstation magazine (italy)
politicalparty_left,people first party (south korea),politicalparty_right,justice party (south korea)
soccertournament_left,2012 uefa women's u-19 championship,soccertournament_right,2012 uefa u-17 women's championship
artwork_left,the entombment of christ (titian),artwork_right,"the entombment (titian, 1525)"
historicbuilding_left,"st. george's church, dublin",historicbuilding_right,"st. catherine's church, dublin"
sportsleague_left,gomtv global starcraft ii team league,sportsleague_right,gomtv global starcraft ii team league
shoppingmall_left,the fashion centre at pentagon city,shoppingmall_right,fashion centre at pentagon city
ethnicgroup_left,white hispanic and latino americans,ethnicgroup_right,non-hispanic whites
railwayline_left,mittenwald railway,railwayline_right,mittelschwaben railway
rugbyleague_left,the rugby championship,rugbyleague_right,rugby league european championship b
ncaateamseason_left,1920 notre dame fighting irish football team,ncaateamseason_right,1887 notre dame football team
sportfacility_left,stadion rudolfa labaje,sportfacility_right,paavo nurmi stadion
reptile_left,moroccan worm lizard,reptile_right,moroccan worm lizard
basketballteam_left,galatasaray sk (women's basketball),basketballteam_right,galatasaray s.k. (women's basketball)
election_left,"bangladeshi general election, 2008",election_right,"bangladeshi general election, 2014"
railwayline_left,central argentine railway,railwayline_right,buenos aires central railway
stadium_left,lokomotiv stadium (nizhny novgorod),stadium_right,dinamo stadium (minsk)
race_left,fillies' sprint stakes,race_right,turf sprint stakes
soccerleague_left,omani federation cup,soccerleague_right,oman professional league cup
reptile_left,anatolian rock lizard,reptile_right,anatolian rock lizard
tennistournament_left,2011 mubadala world tennis championship (december),tennistournament_right,2013 garanti koza wta tournament of champions
device_left,bl 5-inch howitzer,device_right,bl 12 inch howitzer
christianbishop_left,thomas (12th-century bishop),christianbishop_right,thomas (12th century bishop)
election_left,"sheffield council election, 2006",election_right,"sheffield city council election, 2004"
givenname_left,hayley,givenname_right,hayley (given name)
televisionstation_left,cfts-tv,televisionstation_right,cftv-tv
rugbyleague_left,rugby league world sevens,rugbyleague_right,sevens world series
enzyme_left,20alpha-hydroxysteroid dehydrogenase,enzyme_right,3beta-hydroxysteroid dehydrogenase
railwayline_left,g line (rtd),railwayline_right,g line (rtd)
footballleagueseason_left,2003 j. league division 1,footballleagueseason_right,2005 j.league division 1
hospital_left,carolinas medical center-union,hospital_right,carolinas medical center
reptile_left,gran canaria giant lizard,reptile_right,gran canaria giant lizard
unitofwork_left,baylis v. travelers' insurance company,unitofwork_right,baylis v. travelers' ins. co.
amphibian_left,tohoku salamander,amphibian_right,tohoku salamander
sportsleague_left,southern football league,sportsleague_right,southern counties east football league
ncaateamseason_left,1907 alabama crimson tide football team,ncaateamseason_right,1898 alabama crimson white football team
televisionstation_left,wbre-tv,televisionstation_right,wbme-tv
nationalfootballleagueseason_left,1995 cleveland browns season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
ethnicgroup_left,scottish american,ethnicgroup_right,scottish americans
ncaateamseason_left,1958 alabama crimson tide football team,ncaateamseason_right,1899 alabama crimson white football team
artwork_left,portrait of princess saint joana,artwork_right,portrait of a princess (pisanello)
railwayline_left,"line 2, tianjin metro",railwayline_right,"line 22, shanghai metro"
award_left,2006 grammy awards,award_right,36th annual grammy awards
song_left,need your love (song),song_right,need your love (cheap trick song)
reptile_left,horseshoe whip snake,reptile_right,horseshoe whip snake
sportsleague_left,slovak 1.liga,sportsleague_right,slovak 1. liga
monarch_left,al-nasir muhammad,monarch_right,ghiyath al-din muhammad
stadium_left,rajarshi shahu stadium,stadium_right,rasmee dhandu stadium
footballmatch_left,2008 international rules series,footballmatch_right,1999 international rules series
televisionstation_left,kbzo-ld,televisionstation_right,kbro-ld
televisionstation_left,k31fd,televisionstation_right,k31fd-d
museum_left,museum of contemporary art (belgrade),museum_right,"ethnographic museum, belgrade"
christianbishop_left,mark davies (bishop of middleton),christianbishop_right,mark davies (bishop of shrewsbury)
sportfacility_left,uj stadium,sportfacility_right,university park stadium
tennistournament_left,2010 zucchetti kos tennis cup,tennistournament_right,2012 blu-express.com tennis cup
museum_left,"steamtown, peterborough railway preservation society inc.",museum_right,steamtown peterborough railway preservation society
